0#0-(0.232129,0.26306) 1-(0.266169,0.236461) 2-(0.288039,0.192336) 3-(0.299649,0.187975) 4-(0.296047,0.184576) 5-(0.251049,0.0147875) 6-(0.246534,-0.0164857) 7-(0.248881,-0.00266699) 8-(0.247537,0.0171641) 9-(0.202358,0.0280143) 10-(0.206205,0.073471) 11-(0.234421,0.149842) 12-(0.252772,0.177719) 13-(0.165384,0.0775552) 14-(0.177922,0.159102) 15-(0.210236,0.211748) 16-(0.226372,0.214602) 17-(0.13946,0.140858) 18-(0.153049,0.208299) 19-(0.183655,0.243648) 20-(0.201151,0.239559) 
566666#0-(0.13131,0.498125) 1-(0.130922,0.531205) 2-(0.137096,0.621019) 3-(0.145721,0.712519) 4-(0.170575,0.761928) 5-(0.0880892,0.615505) 6-(0.125719,0.806908) 7-(0.15691,0.867071) 8-(0.169166,0.889987) 9-(0.0832266,0.630087) 10-(0.123529,0.858388) 11-(0.156015,0.893842) 12-(0.162423,0.891771) 13-(0.087314,0.650648) 14-(0.115344,0.858701) 15-(0.147755,0.894851) 16-(0.158567,0.900104) 17-(0.0969343,0.665387) 18-(0.124069,0.812241) 19-(0.147293,0.864387) 20-(0.157893,0.885296) 
600000#0-(0.151437,0.466451) 1-(0.0915491,0.553868) 2-(0.0536022,0.676139) 3-(0.0425328,0.778506) 4-(0.0610205,0.838364) 5-(0.0441075,0.647262) 6-(0.0600776,0.82842) 7-(0.0912376,0.894252) 8-(0.111278,0.911371) 9-(0.0835994,0.616905) 10-(0.106536,0.822853) 11-(0.14078,0.87758) 12-(0.153878,0.887946) 13-(0.129078,0.592102) 14-(0.145449,0.778074) 15-(0.178855,0.847568) 16-(0.193201,0.875009) 17-(0.175586,0.568853) 18-(0.203561,0.716085) 19-(0.221508,0.795792) 20-(0.22612,0.840144) 
633333#0-(0.127814,0.526743) 1-(0.172353,0.549072) 2-(0.202206,0.616312) 3-(0.214154,0.693656) 4-(0.227038,0.758565) 5-(0.133511,0.592884) 6-(0.169634,0.785774) 7-(0.196642,0.816767) 8-(0.204244,0.815482) 9-(0.0857348,0.614916) 10-(0.132981,0.839678) 11-(0.163617,0.849008) 12-(0.165994,0.822558) 13-(0.0547878,0.6482) 14-(0.0919962,0.857004) 15-(0.123733,0.865803) 16-(0.130822,0.839318) 17-(0.0327759,0.675896) 18-(0.0567735,0.823814) 19-(0.0848627,0.845685) 20-(0.0978331,0.833758) 
666666#0-(0.150593,0.457994) 1-(0.0968069,0.535086) 2-(0.0660978,0.645227) 3-(0.0584248,0.737279) 4-(0.0790639,0.792839) 5-(0.044119,0.646998) 6-(0.0689584,0.836692) 7-(0.0991812,0.891473) 8-(0.113132,0.901504) 9-(0.0787074,0.622352) 10-(0.110085,0.839142) 11-(0.141726,0.875002) 12-(0.149658,0.872797) 13-(0.12153,0.602204) 14-(0.142494,0.797797) 15-(0.175903,0.848276) 16-(0.186824,0.863713) 17-(0.165608,0.582601) 18-(0.195565,0.729836) 19-(0.21532,0.802007) 20-(0.219439,0.840446) 
700000#0-(0.13748,0.49227) 1-(0.120559,0.523648) 2-(0.113862,0.601442) 3-(0.117555,0.677972) 4-(0.143085,0.717676) 5-(0.0768646,0.601168) 6-(0.10045,0.787278) 7-(0.127673,0.841724) 8-(0.13984,0.853734) 9-(0.0850311,0.604371) 10-(0.114345,0.823573) 11-(0.143111,0.85937) 12-(0.150382,0.856547) 13-(0.101769,0.61448) 14-(0.121839,0.814125) 15-(0.152897,0.856663) 16-(0.16389,0.865693) 17-(0.123237,0.623031) 18-(0.148173,0.764195) 19-(0.169801,0.823238) 20-(0.178228,0.849885) 
733333#0-(0.131789,0.501896) 1-(0.146024,0.527339) 2-(0.159249,0.602514) 3-(0.169835,0.685498) 4-(0.194546,0.734432) 5-(0.105949,0.583531) 6-(0.13973,0.770036) 7-(0.169776,0.817896) 8-(0.179773,0.828047) 9-(0.0891693,0.597596) 10-(0.128547,0.818768) 11-(0.157234,0.847235) 12-(0.160325,0.836866) 13-(0.0835188,0.621144) 14-(0.112948,0.823166) 15-(0.143612,0.852786) 16-(0.150438,0.849039) 17-(0.0839803,0.641233) 18-(0.108576,0.780577) 19-(0.132893,0.828522) 20-(0.142223,0.842701) 
766666#0-(0.138454,0.491233) 1-(0.126833,0.531198) 2-(0.123771,0.614657) 3-(0.129505,0.697706) 4-(0.154173,0.739233) 5-(0.0773793,0.598721) 6-(0.108866,0.789726) 7-(0.138202,0.831899) 8-(0.145761,0.834776) 9-(0.0842755,0.601169) 10-(0.121981,0.82199) 11-(0.149172,0.846154) 12-(0.150832,0.8336) 13-(0.100724,0.611847) 14-(0.129853,0.812278) 15-(0.158066,0.840928) 16-(0.162356,0.837442) 17-(0.12196,0.62069) 18-(0.150462,0.758236) 19-(0.172159,0.810946) 20-(0.177719,0.831508) 
800000#0-(0.178538,0.529102) 1-(0.139505,0.54445) 2-(0.102481,0.606518) 3-(0.0738682,0.660221) 4-(0.075119,0.700139) 5-(0.0785035,0.581375) 6-(0.0650743,0.718797) 7-(0.0818279,0.763107) 8-(0.0967879,0.771232) 9-(0.105391,0.57466) 10-(0.0986753,0.744247) 11-(0.119825,0.788917) 12-(0.132288,0.791528) 13-(0.136096,0.580808) 14-(0.134766,0.737653) 15-(0.156408,0.801602) 16-(0.169584,0.819156) 17-(0.169004,0.600437) 18-(0.186317,0.711997) 19-(0.200334,0.793274) 20-(0.205249,0.844497) 
833333#0-(0.146327,0.454701) 1-(0.0904818,0.534977) 2-(0.0566549,0.645035) 3-(0.0485467,0.741632) 4-(0.069982,0.801089) 5-(0.0414629,0.631713) 6-(0.062568,0.81176) 7-(0.0917407,0.863644) 8-(0.105613,0.870209) 9-(0.0816601,0.602277) 10-(0.106193,0.810842) 11-(0.136123,0.852214) 12-(0.142853,0.851203) 13-(0.127952,0.579982) 14-(0.145384,0.767175) 15-(0.176499,0.821606) 16-(0.184331,0.834516) 17-(0.174467,0.5568) 18-(0.203977,0.700185) 19-(0.2229,0.77579) 20-(0.225228,0.815183) 
866666#0-(0.170353,0.48167) 1-(0.108992,0.530526) 2-(0.0627959,0.625947) 3-(0.0340866,0.703667) 4-(0.0355892,0.749832) 5-(0.0553779,0.606928) 6-(0.057406,0.756498) 7-(0.0794009,0.80945) 8-(0.0966833,0.826546) 9-(0.0921337,0.584047) 10-(0.10307,0.771873) 11-(0.12902,0.826097) 12-(0.14352,0.837894) 13-(0.134212,0.572631) 14-(0.147202,0.747469) 15-(0.175457,0.81505) 16-(0.188907,0.838181) 17-(0.177993,0.571237) 18-(0.203651,0.700586) 19-(0.222635,0.781402) 20-(0.229282,0.83283) 
900000#0-(0.125427,0.488649) 1-(0.128422,0.512924) 2-(0.134948,0.591759) 3-(0.145349,0.676119) 4-(0.173376,0.721945) 5-(0.0864643,0.582781) 6-(0.120457,0.766151) 7-(0.147769,0.819007) 8-(0.156283,0.833231) 9-(0.0802235,0.591311) 10-(0.11607,0.806185) 11-(0.14434,0.841397) 12-(0.149518,0.838602) 13-(0.0840568,0.60826) 14-(0.10931,0.802901) 15-(0.139316,0.843904) 16-(0.147291,0.849124) 17-(0.093996,0.623281) 18-(0.120638,0.758212) 19-(0.144306,0.819629) 20-(0.154199,0.84742) 
933333#0-(0.133956,0.480034) 1-(0.117508,0.524232) 2-(0.109111,0.606645) 3-(0.113505,0.694227) 4-(0.140724,0.745468) 5-(0.0676286,0.595116) 6-(0.0877326,0.774587) 7-(0.114379,0.835106) 8-(0.129744,0.85058) 9-(0.0810858,0.589293) 10-(0.102552,0.799188) 11-(0.132503,0.845666) 12-(0.142805,0.851172) 13-(0.103001,0.594143) 14-(0.116244,0.783327) 15-(0.147498,0.83696) 16-(0.15868,0.854572) 17-(0.129675,0.600462) 18-(0.150198,0.735677) 19-(0.171661,0.800823) 20-(0.179796,0.834341) 
966666#0-(0.141493,0.47214) 1-(0.0942242,0.539353) 2-(0.0605364,0.639459) 3-(0.053109,0.730911) 4-(0.0730475,0.776919) 5-(0.0400272,0.612848) 6-(0.0526797,0.783426) 7-(0.0830759,0.84372) 8-(0.102627,0.858363) 9-(0.0764545,0.588573) 10-(0.091955,0.787748) 11-(0.123905,0.841619) 12-(0.13614,0.849359) 13-(0.119852,0.573919) 14-(0.132006,0.752475) 15-(0.161352,0.815941) 16-(0.171061,0.83607) 17-(0.165443,0.566038) 18-(0.186164,0.698787) 19-(0.202891,0.772361) 20-(0.205775,0.813292) 
1000000#0-(0.125081,0.493598) 1-(0.109486,0.538271) 2-(0.098923,0.624349) 3-(0.105097,0.718044) 4-(0.133294,0.769593) 5-(0.0693167,0.595133) 6-(0.0861183,0.746734) 7-(0.110926,0.815042) 8-(0.128767,0.842666) 9-(0.0852496,0.578899) 10-(0.10183,0.770204) 11-(0.129288,0.833308) 12-(0.142947,0.854359) 13-(0.107423,0.575778) 14-(0.116828,0.754196) 15-(0.143164,0.823588) 16-(0.154409,0.856034) 17-(0.134032,0.577807) 18-(0.152591,0.711979) 19-(0.172514,0.787524) 20-(0.180267,0.836662) 
1033333#0-(0.132015,0.544118) 1-(0.179248,0.525139) 2-(0.196377,0.590257) 3-(0.196215,0.674017) 4-(0.19215,0.753712) 5-(0.14509,0.534666) 6-(0.163479,0.675866) 7-(0.180943,0.749929) 8-(0.188691,0.795619) 9-(0.093471,0.566731) 10-(0.119042,0.72724) 11-(0.142371,0.793042) 12-(0.15467,0.827169) 13-(0.0585812,0.605565) 14-(0.084326,0.754949) 15-(0.106466,0.821535) 16-(0.117135,0.862116) 17-(0.0360455,0.643576) 18-(0.0559219,0.758194) 19-(0.0723391,0.806418) 20-(0.0846679,0.831995) 21-(0.131037,0.485229) 22-(0.103232,0.545766) 23-(0.0859811,0.637387) 24-(0.087399,0.729033) 25-(0.114236,0.779089) 26-(0.0603916,0.606607) 27-(0.0736263,0.769031) 28-(0.0981765,0.834691) 29-(0.113916,0.855531) 30-(0.0846487,0.580247) 31-(0.0976636,0.777664) 32-(0.124336,0.836076) 33-(0.135713,0.850557) 34-(0.115214,0.566604) 35-(0.124227,0.746038) 36-(0.150043,0.813535) 37-(0.158826,0.84277) 38-(0.148337,0.558794) 39-(0.170102,0.693744) 40-(0.189163,0.770108) 41-(0.194325,0.818008) 
